ENTITY_NAME,ENTITY_TYPE
Guinea Franc,CURRENCY
Quetzal,CURRENCY
Guyana Dollar,CURRENCY
Hong Kong Dollar,CURRENCY
Lempira,CURRENCY
Croatian Kuna,CURRENCY
Gourde US Dollar,CURRENCY
Forint,CURRENCY
Rupiah,CURRENCY
New Israeli Sheqel,CURRENCY
Indian Rupee,CURRENCY
Indian Rupee Ngultrum,CURRENCY
Iraqi Dinar,CURRENCY
Iranian Rial,CURRENCY
Iceland Krona,CURRENCY
Jamaican Dollar,CURRENCY
Jordanian Dinar,CURRENCY
Yen,CURRENCY
Kenyan Shilling,CURRENCY
Som,CURRENCY
Riel,CURRENCY
Comoro Franc,CURRENCY
North Korean Won,CURRENCY
Won,CURRENCY
Kuwaiti Dinar,CURRENCY
Cayman Islands Dollar,CURRENCY
Tenge,CURRENCY
Kip,CURRENCY
Lebanese Pound,CURRENCY
Sri Lanka Rupee,CURRENCY
Liberian Dollar,CURRENCY
Lithuanian Litas,CURRENCY
Latvian Lats,CURRENCY
Libyan Dinar,CURRENCY
Moroccan Dirham,CURRENCY
Moldovan Leu,CURRENCY
Malagasy Ariary,CURRENCY
Denar,CURRENCY
Kyat,CURRENCY
Tugrik,CURRENCY
Pataca,CURRENCY
Ouguiya,CURRENCY
Mauritius Rupee,CURRENCY
Rufiyaa,CURRENCY
Kwacha,CURRENCY
Mexican Peso Mexican Unidad de Inversion (UDI),CURRENCY
Malaysian Ringgit,CURRENCY
Metical,CURRENCY
Naira,CURRENCY
Cordoba Oro,CURRENCY
Norwegian Krone,CURRENCY
Nepalese Rupee,CURRENCY
New Zealand Dollar,CURRENCY
Rial Omani,CURRENCY
Balboa US Dollar,CURRENCY
Nuevo Sol,CURRENCY
Kina,CURRENCY
Philippine Peso,CURRENCY
Pakistan Rupee,CURRENCY
Zloty,CURRENCY
Guarani,CURRENCY
Qatari Rial,CURRENCY
New Leu,CURRENCY
Serbian Dinar,CURRENCY
Russian Ruble,CURRENCY
Rwanda Franc,CURRENCY
Saudi Riyal,CURRENCY
Solomon Islands Dollar,CURRENCY
Seychelles Rupee,CURRENCY
Sudanese Pound,CURRENCY
Swedish Krona,CURRENCY
Singapore Dollar,CURRENCY
Saint Helena Pound,CURRENCY
Leone,CURRENCY
Somali Shilling,CURRENCY
Surinam Dollar,CURRENCY
Dobra,CURRENCY
El Salvador Colon US Dollar,CURRENCY
Syrian Pound,CURRENCY
Lilangeni,CURRENCY
Baht,CURRENCY
Somoni,CURRENCY
Manat,CURRENCY
Tunisian Dinar,CURRENCY
Pa'anga,CURRENCY
Turkish Lira,CURRENCY
Trinidad and Tobago Dollar,CURRENCY
New Taiwan Dollar,CURRENCY
Tanzanian Shilling,CURRENCY
Hryvnia,CURRENCY
Uganda Shilling,CURRENCY
US Dollar,CURRENCY
Peso Uruguayo Uruguay Peso en Unidades Indexadas,CURRENCY
Uzbekistan Sum,CURRENCY
Bolivar Fuerte,CURRENCY
Dong,CURRENCY
Vatu,CURRENCY
Tala,CURRENCY
CFA Franc BEAC,CURRENCY
Silver,CURRENCY
Gold,CURRENCY
Bond Markets Units European Composite Unit (EURCO),CURRENCY
European Monetary Unit (E.M.U.-6),CURRENCY
European Unit of Account 9(E.U.A.-9),CURRENCY
European Unit of Account 17(E.U.A.-17),CURRENCY
East Caribbean Dollar,CURRENCY
SDR,CURRENCY
UIC-Franc,CURRENCY
CFA Franc BCEAO,CURRENCY
Palladium,CURRENCY
CFP Franc,CURRENCY
Platinum,CURRENCY
Codes specifically reserved for testing purposes,CURRENCY
Yemeni Rial,CURRENCY
Rand,CURRENCY
Rand Loti,CURRENCY
Rand Namibia Dollar,CURRENCY
Zambian Kwacha,CURRENCY
Zimbabwe Dollar,CURRENCY
$,CURRENCY_SYMBOL
$b,CURRENCY_SYMBOL
$U,CURRENCY_SYMBOL
£,CURRENCY_SYMBOL
¥,CURRENCY_SYMBOL
₱,CURRENCY_SYMBOL
﷼,CURRENCY_SYMBOL
₭,CURRENCY_SYMBOL
₦,CURRENCY_SYMBOL
₩,CURRENCY_SYMBOL
₮,CURRENCY_SYMBOL
€,CURRENCY_SYMBOL
₡,CURRENCY_SYMBOL
៛,CURRENCY_SYMBOL
؋,CURRENCY_SYMBOL
₴,CURRENCY_SYMBOL
₪,CURRENCY_SYMBOL
₫,CURRENCY_SYMBOL
BZ$,CURRENCY_SYMBOL
C$,CURRENCY_SYMBOL
CHF,CURRENCY_SYMBOL
ƒ,CURRENCY_SYMBOL
ƒ,CURRENCY_SYMBOL
J$,CURRENCY_SYMBOL
Kč,CURRENCY_SYMBOL
TT$,CURRENCY_SYMBOL
zł,CURRENCY_SYMBOL
ден,CURRENCY_SYMBOL
Дин.,CURRENCY_SYMBOL
лв,CURRENCY_SYMBOL
ман,CURRENCY_SYMBOL
Africa,CONTINENT
Antarctica,CONTINENT
Asia,CONTINENT
Europe,CONTINENT
North America,CONTINENT
Oceania (or Australia),CONTINENT
South America,CONTINENT
Andhra Pradesh,STATES
Arunachal Pradesh,STATES
Assam,STATES
Bihar,STATES
Chhattisgarh,STATES
Goa,STATES
Gujarat,STATES
Haryana,STATES
Himachal Pradesh,STATES
Jammu and Kashmir,STATES
Jharkhand,STATES
Karnataka,STATES
Kerala,STATES
Madhya Pradesh,STATES
Maharashtra,STATES
Manipur,STATES
Meghalaya,STATES
Mizoram,STATES
Nagaland,STATES
Odisha,STATES
Punjab,STATES
Rajasthan,STATES
Sikkim,STATES
Tamil Nadu,STATES
Telangana,STATES
Tripura,STATES
Uttar Pradesh,STATES
Uttarakhand,STATES
West Bengal,STATES
Abohar ,CITY
Achalpur ,CITY
Adilabad ,CITY
Adityapur ,CITY
Adoni ,CITY
Agartala ,CITY
Agra ,CITY
Ahmadabad ,CITY
Ahmadnagar ,CITY
Aizawl ,CITY
Ajmer ,CITY
Akbarpur ,CITY
Akola ,CITY
Alandur ,CITY
Alappuzha ,CITY
Aligarh ,CITY
Allahabad ,CITY
Alwar ,CITY
Ambala ,CITY
Ambala Sadar ,CITY
Ambarnath ,CITY
Ambattur ,CITY
Ambikapur ,CITY
Ambur ,CITY
Amravati ,CITY
Amreli ,CITY
Amritsar ,CITY
Amroha ,CITY
Anand ,CITY
Anantapur ,CITY
Anantnag ,CITY
Arrah ,CITY
Asansol ,CITY
Ashoknagar Kalyangarh ,CITY
Aurangabad ,CITY
Aurangabad ,CITY
Avadi ,CITY
Azamgarh ,CITY
Badlapur ,CITY
Bagaha ,CITY
Bagalkot ,CITY
Bahadurgarh ,CITY
Baharampur ,CITY
Bahraich ,CITY
Baidyabati ,CITY
Baleshwar Town ,CITY
Ballia ,CITY
Bally ,CITY
Bally City,CITY
Balurghat ,CITY
Banda ,CITY
Bankura ,CITY
Bansberia ,CITY
Banswara ,CITY
Baran ,CITY
Baranagar ,CITY
Barasat ,CITY
Baraut ,CITY
Barddhaman ,CITY
Bareilly ,CITY
Baripada Town ,CITY
Barnala ,CITY
Barrackpur ,CITY
Barshi ,CITY
Basirhat ,CITY
Basti ,CITY
Batala ,CITY
Bathinda ,CITY
Beawar ,CITY
Begusarai ,CITY
Belgaum ,CITY
Bellary ,CITY
Bengaluru,CITY
Bettiah ,CITY
Betul ,CITY
Bhadrak ,CITY
Bhadravati ,CITY
Bhadreswar ,CITY
Bhagalpur ,CITY
Bhalswa Jahangir Pur ,CITY
Bharatpur ,CITY
Bharuch ,CITY
Bhatpara ,CITY
Bhavnagar ,CITY
Bhilai Nagar ,CITY
Bhilwara ,CITY
Bhimavaram ,CITY
Bhind ,CITY
Bhiwadi ,CITY
Bhiwandi ,CITY
Bhiwani ,CITY
Bhopal ,CITY
Bhubaneswar Town ,CITY
Bhuj ,CITY
Bhusawal ,CITY
Bid ,CITY
Bidar ,CITY
Bidhan Nagar ,CITY
Biharsharif ,CITY
Bijapur ,CITY
Bikaner ,CITY
Bilaspur ,CITY
Bokaro Steel City ,CITY
Bongaon ,CITY
Botad ,CITY
Brahmapur Town ,CITY
Budaun ,CITY
Bulandshahr ,CITY
Bundi ,CITY
Burari ,CITY
Burhanpur ,CITY
Buxar ,CITY
Champdani ,CITY
Chandannagar ,CITY
Chandausi ,CITY
Chandigarh ,CITY
Chandrapur ,CITY
Chapra ,CITY
Chas ,CITY
Chennai ,CITY
Chhattarpur ,CITY
Chhindwara ,CITY
Chikmagalur ,CITY
Chilakaluripet ,CITY
Chitradurga ,CITY
Chittaurgarh ,CITY
Chittoor ,CITY
Churu ,CITY
Coimbatore ,CITY
Cuddalore ,CITY
Cuttack ,CITY
Dabgram ,CITY
Dallo Pura ,CITY
Damoh ,CITY
Darbhanga ,CITY
Darjiling ,CITY
Datia ,CITY
Davanagere ,CITY
Deesa ,CITY
Dehradun ,CITY
Dehri ,CITY
Delhi ,CITY
Delhi Cantonment ,CITY
Deoghar ,CITY
Deoli ,CITY
Deoria ,CITY
Dewas ,CITY
Dhanbad ,CITY
Dharmavaram ,CITY
Dhaulpur ,CITY
Dhule ,CITY
Dibrugarh ,CITY
Dimapur ,CITY
Dinapur Nizamat ,CITY
Dindigul ,CITY
Dum Dum ,CITY
Durg ,CITY
Durgapur ,CITY
Eluru ,CITY
English Bazar ,CITY
Erode ,CITY
Etah ,CITY
Etawah ,CITY
Faizabad ,CITY
Faridabad ,CITY
Farrukhabad-cum-Fatehgarh ,CITY
Fatehpur ,CITY
Firozabad ,CITY
Firozpur ,CITY
Gadag-Betigeri ,CITY
Gandhidham ,CITY
Gandhinagar ,CITY
Ganganagar ,CITY
Gangapur City ,CITY
Gangawati ,CITY
Gaya ,CITY
Ghazipur ,CITY
Giridih ,CITY
Godhra ,CITY
Gokal Pur ,CITY
Gonda ,CITY
Gondal ,CITY
Gondiya ,CITY
Gorakhpur ,CITY
Greater Hyderabad ,CITY
Greater Mumbai ,CITY
Greater Noida ,CITY
Gudivada ,CITY
Gulbarga ,CITY
Guna ,CITY
Guntakal ,CITY
Guntur ,CITY
Gurgaon ,CITY
Guwahati ,CITY
Gwalior ,CITY
Habra ,CITY
Hajipur ,CITY
Haldia ,CITY
Haldwani-cum-Kathgodam ,CITY
Halisahar ,CITY
Hanumangarh ,CITY
Haora ,CITY
Hapur ,CITY
Hardoi ,CITY
Hardwar ,CITY
Hassan ,CITY
Hastsal ,CITY
Hathras ,CITY
Hazaribag ,CITY
Hindaun ,CITY
Hindupur ,CITY
Hinganghat ,CITY
Hisar ,CITY
Hoshangabad ,CITY
Hoshiarpur ,CITY
Hospet ,CITY
Hosur ,CITY
Hubli-Dharwad ,CITY
Hugli-Chinsurah ,CITY
Ichalkaranji ,CITY
Imphal ,CITY
Indore ,CITY
Jabalpur ,CITY
Jagadhri ,CITY
Jagdalpur ,CITY
Jaipur ,CITY
Jalandhar ,CITY
Jalgaon ,CITY
Jalna ,CITY
Jalpaiguri ,CITY
Jamalpur ,CITY
Jammu ,CITY
Jamnagar ,CITY
Jamshedpur ,CITY
Jamuria ,CITY
Jaunpur ,CITY
Jehanabad ,CITY
Jetpur Navagadh ,CITY
Jhansi ,CITY
Jhunjhunun ,CITY
Jind ,CITY
Jodhpur ,CITY
Junagadh ,CITY
Kadapa ,CITY
Kaithal ,CITY
Kakinada ,CITY
Kalol ,CITY
Kalyani ,CITY
Kamarhati ,CITY
Kancheepuram ,CITY
Kanchrapara ,CITY
Kanpur ,CITY
Kanpur City,CITY
Karaikkudi ,CITY
Karawal Nagar ,CITY
Karimnagar ,CITY
Karnal ,CITY
Kasganj ,CITY
Kashipur ,CITY
Katihar ,CITY
Khammam ,CITY
Khandwa ,CITY
Khanna ,CITY
Kharagpur ,CITY
Khardaha ,CITY
Khargone ,CITY
Khora ,CITY
Khurja ,CITY
Kirari Suleman Nagar ,CITY
Kishanganj ,CITY
Kishangarh ,CITY
Kochi ,CITY
Kolar ,CITY
Kolhapur ,CITY
Kolkata ,CITY
Kollam ,CITY
Korba ,CITY
Kota ,CITY
Kozhikode ,CITY
Krishnanagar ,CITY
Kulti ,CITY
Kumbakonam ,CITY
Kurichi ,CITY
Kurnool ,CITY
Lakhimpur ,CITY
Lalitpur ,CITY
Latur ,CITY
Loni ,CITY
Lucknow ,CITY
Ludhiana ,CITY
Machilipatnam ,CITY
Madanapalle ,CITY
Madavaram ,CITY
Madhyamgram ,CITY
Madurai ,CITY
Mahbubnagar ,CITY
Mahesana ,CITY
Maheshtala ,CITY
Mainpuri ,CITY
Malegaon ,CITY
Malerkotla ,CITY
Mandoli ,CITY
Mandsaur ,CITY
Mandya ,CITY
Mangalore ,CITY
Mango ,CITY
Mathura ,CITY
Maunath Bhanjan ,CITY
Medinipur ,CITY
Meerut ,CITY
Mira Bhayander ,CITY
Miryalaguda ,CITY
Mirzapur-cum-Vindhyachal ,CITY
Modinagar ,CITY
Moga ,CITY
Moradabad ,CITY
Morena ,CITY
Morvi ,CITY
Motihari ,CITY
Mughalsarai ,CITY
Muktsar ,CITY
Munger ,CITY
Murwara ,CITY
Mustafabad ,CITY
Muzaffarnagar ,CITY
Muzaffarpur ,CITY
Mysore ,CITY
Nabadwip ,CITY
Nadiad ,CITY
Nagaon ,CITY
Nagapattinam ,CITY
Nagaur ,CITY
Nagda ,CITY
Nagercoil ,CITY
Nagpur ,CITY
Naihati ,CITY
Nalgonda ,CITY
Nanded Waghala ,CITY
Nandurbar ,CITY
Nandyal ,CITY
Nangloi Jat ,CITY
Narasaraopet ,CITY
Nashik ,CITY
Navi Mumbai ,CITY
Navi Mumbai Panvel Raigarh ,CITY
Navsari ,CITY
Neemuch ,CITY
Nellore ,CITY
New Delhi ,CITY
Neyveli ,CITY
Nizamabad ,CITY
Noida ,CITY
North Barrackpur ,CITY
North Dum Dum ,CITY
Ongole ,CITY
Orai ,CITY
Osmanabad ,CITY
Ozhukarai ,CITY
Palakkad ,CITY
Palanpur ,CITY
Pali ,CITY
Pallavaram ,CITY
Palwal ,CITY
Panchkula ,CITY
Panihati ,CITY
Panipat ,CITY
Panvel ,CITY
Parbhani ,CITY
Patan ,CITY
Pathankot ,CITY
Patiala ,CITY
Patna ,CITY
Pilibhit ,CITY
Pimpri Chinchwad ,CITY
Pithampur ,CITY
Porbandar ,CITY
Port Blair ,CITY
Proddatur ,CITY
Puducherry ,CITY
Pudukkottai ,CITY
Pune ,CITY
Puri ,CITY
Purnia ,CITY
Puruliya ,CITY
Rae Bareli ,CITY
Raichur ,CITY
Raiganj ,CITY
Raigarh ,CITY
Raipur ,CITY
Rajahmundry ,CITY
Rajapalayam ,CITY
Rajarhat Gopalpur ,CITY
Rajkot ,CITY
Rajnandgaon ,CITY
Rajpur Sonarpur ,CITY
Ramagundam ,CITY
Rampur ,CITY
Ranchi ,CITY
Ranibennur ,CITY
Raniganj ,CITY
Ratlam ,CITY
Raurkela Industrial Township ,CITY
Raurkela Town ,CITY
Rewa ,CITY
Rewari ,CITY
Rishra ,CITY
Robertson Pet ,CITY
Rohtak ,CITY
Roorkee ,CITY
Rudrapur ,CITY
S.A.S. Nagar ,CITY
Sagar ,CITY
Saharanpur ,CITY
Saharsa ,CITY
Salem ,CITY
Sambalpur ,CITY
Sambhal ,CITY
Sangli Miraj Kupwad ,CITY
Santipur ,CITY
Sasaram ,CITY
Satara ,CITY
Satna ,CITY
Sawai Madhopur ,CITY
Secunderabad ,CITY
Sehore ,CITY
Seoni ,CITY
Serampore ,CITY
Shahjahanpur ,CITY
Shamli ,CITY
Shikohabad ,CITY
Shillong ,CITY
Shimla ,CITY
Shimoga ,CITY
Shivpuri ,CITY
Sikar ,CITY
Silchar ,CITY
Siliguri ,CITY
Singrauli ,CITY
Sirsa ,CITY
Sitapur ,CITY
Siwan ,CITY
Solapur ,CITY
Sonipat ,CITY
South Dum Dum ,CITY
Srikakulam ,CITY
Srinagar ,CITY
Sujangarh ,CITY
Sultan Pur Majra ,CITY
Sultanpur ,CITY
Surat ,CITY
Surendranagar Dudhrej ,CITY
Suryapet ,CITY
Tadepalligudem ,CITY
Tadpatri ,CITY
Tambaram ,CITY
Tenali ,CITY
Thane ,CITY
Thanesar ,CITY
Thanjavur ,CITY
Thiruvananthapuram ,CITY
Thoothukkudi ,CITY
Thrissur ,CITY
Tiruchirappalli ,CITY
Tirunelveli ,CITY
Tirupati ,CITY
Tiruppur ,CITY
Tiruvannamalai ,CITY
Tiruvottiyur ,CITY
Titagarh ,CITY
Tonk ,CITY
Tumkur ,CITY
Udaipur ,CITY
Udgir ,CITY
Udupi ,CITY
Ujjain ,CITY
Ulhasnagar ,CITY
Uluberia ,CITY
Unnao ,CITY
Uttarpara Kotrung ,CITY
Vadodara ,CITY
Valsad ,CITY
Varanasi ,CITY
Vasai Virar City ,CITY
Vellore ,CITY
Veraval ,CITY
Vidisha ,CITY
Vijayawada ,CITY
Visakhapatnam,CITY
Vizianagaram ,CITY
Warangal ,CITY
Wardha ,CITY
Yamunanagar ,CITY
Yavatmal ,CITY
Alabama,STATES
Alaska,STATES
Arizona,STATES
Arkansas,STATES
California,STATES
Colorado,STATES
Connecticut,STATES
Delaware,STATES
District of Columbia,STATES
Florida,STATES
Georgia,STATES
Hawaii,STATES
Idaho,STATES
Illinois,STATES
Indiana,STATES
Iowa,STATES
Kansas,STATES
Kentucky,STATES
Louisiana,STATES
Maine,STATES
Montana,STATES
Nebraska,STATES
Nevada,STATES
New Hampshire,STATES
New Jersey,STATES
New Mexico,STATES
New York,STATES
North Carolina,STATES
North Dakota,STATES
Ohio,STATES
Oklahoma,STATES
Oregon,STATES
Maryland,STATES
Massachusetts,STATES
Michigan,STATES
Minnesota,STATES
Mississippi,STATES
Missouri,STATES
Pennsylvania,STATES
Rhode Island,STATES
South Carolina,STATES
South Dakota,STATES
Tennessee,STATES
Texas,STATES
Utah,STATES
Vermont,STATES
Virginia,STATES
Washington,STATES
West Virginia,STATES
Wisconsin,STATES
Wyoming,STATES
Marysville,CITY
Perris,CITY
Cleveland,CITY
Worcester,CITY
Columbia,CITY
Waterbury,CITY
Eagan,CITY
Southfield,CITY
Lafayette,CITY
Boise City,CITY
Elkhart,CITY
Buena Park,CITY
Marietta,CITY
Parker,CITY
West Palm Beach,CITY
Salem,CITY
Aurora,CITY
Leesburg,CITY
Doral,CITY
Westminster,CITY
Lubbock,CITY
Overland Park,CITY
Jackson,CITY
Gastonia,CITY
Daytona Beach,CITY
Kansas City,CITY
Rancho Palos Verdes,CITY
Burnsville,CITY
Rowlett,CITY
Roswell,CITY
Montgomery,CITY
Logan,CITY
Woburn,CITY
Allentown,CITY
Mount Pleasant,CITY
Columbus,CITY
Buffalo,CITY
New Berlin,CITY
North Richland Hills,CITY
Lima,CITY
Sacramento,CITY
Fort Smith,CITY
East Providence,CITY
Urbandale,CITY
Mount Vernon,CITY
Lakewood,CITY
Henderson,CITY
Covina,CITY
Stamford,CITY
Bloomington,CITY
Kingsport,CITY
Spokane,CITY
Kennewick,CITY
Philadelphia,CITY
Bellingham,CITY
Visalia,CITY
La Crosse,CITY
Council Bluffs,CITY
North Lauderdale,CITY
Dallas,CITY
Antioch,CITY
Sterling Heights,CITY
Deerfield Beach,CITY
Fishers,CITY
Cheyenne,CITY
Murrieta,CITY
Lenexa,CITY
Noblesville,CITY
Southaven,CITY
Chino,CITY
Gaithersburg,CITY
Fountain Valley,CITY
Frederick,CITY
Greenville,CITY
DeKalb,CITY
West Allis,CITY
Thornton,CITY
West Des Moines,CITY
Fall River,CITY
Tulare,CITY
Chula Vista,CITY
Coral Springs,CITY
Concord,CITY
Smyrna,CITY
Apopka,CITY
Grand Forks,CITY
Lancaster,CITY
Naperville,CITY
Hollywood,CITY
Rogers,CITY
New Orleans,CITY
Lakewood,CITY
